term,POS,sentiment
a,det,0
a.d.,adv,0
a.k.a.,adv,0
a.m.,adj,0
a.m.,adv,0
aardvark,n,0
abaci,n,0
aback,adv,-1
abacus,n,0
abaft,adv,0
abalone,n,0
abandon,v,-1
abandoned,adj,-2
abandonment,n,-2
abase,v,-1
abasement,n,-1
abash,v,0
abashed,adj,0
abate,v,0
abatement,n,0
abattoir,n,0
abbess,n,0
abbey,n,0
abbot,n,0
abbr.,n,0
abbreviate,v,0
abbreviation,n,0
abdicate,v,0
abdication,n,-1
abdomen,n,0
abdominal,adj,0
abduct,v,-2
abduction,n,-2
abductor,n,-2
abeam,adv,0
abed,adv,0
aberrant,adj,-1
aberration,n,-1
abet,v,-1
abeyance,n,0
abhor,v,-3
abhorrence,n,-2
abhorrent,adj,-3
abide,v,0
abiding,adj,2
ability,n,1
abject,adj,-2
abjectly,adv,-2
abjure,v,0
ablaze,adj,0
able,adj,2
able-bodied,adj,2
ably,adv,1
abnegation,n,-2
abnormal,adj,-1
abnormality,n,-1
abnormally,adv,-1
aboard,adv,0
abode,n,0
abolish,v,0
abolition,n,-1
abolitionist,n,0
abominable,adj,-2
abominably,adv,-2
abominate,v,-3
abomination,n,-3
aboriginal,adj,0
aborigine,n,0
abort,v,0
abortion,n,-1
abortionist,n,0
abortive,adj,-1
abound,v,1
about,adj,0
about,adv,0
about-face,v,0
above,adj,1
above,adv,0
aboveboard,adj,2
aboveboard,adv,1
abracadabra,n,0
abrade,v,0
abrasion,n,-1
abrasive,adj,-2
abrasively,adv,-1
abreast,adj,0
abreast,adv,0
abridge,v,0
abridgement,n,0
abridgment,n,0
abroad,adj,0
abroad,adv,0
abrogate,v,0
abrogation,n,-2
abrupt,adj,-1
abruptly,adv,-1
abruptness,n,-1
abscess,n,-2
abscessed,adj,-2
abscond,v,-2
absence,n,0
absent,adj,-1
absent,v,0
absentee,n,-1
absenteeism,n,-1
absently,adv,0
absinthe,n,0
absolute,adj,0
absolutely,adv,1
absolution,n,1
absolutism,n,0
absolve,v,1
absorb,v,0
absorbency,n,0
absorbent,adj,0
absorbing,adj,1
absorption,n,0
abstain,v,0
abstainer,n,0
abstemious,adj,2
abstention,n,0
abstinence,n,1
abstinent,adj,0
abstract,adj,0
abstract,v,0
abstracted,adj,0
abstraction,n,0
abstractly,adv,0
abstractness,n,0
abstruse,adj,0
abstrusely,adv,0
abstruseness,n,0
absurd,adj,-1
absurdity,n,-1
absurdly,adv,-1
abundance,n,2
abundant,adj,2
abundantly,adv,1
abuse,v,-2
abusive,adj,-2
abusively,adv,-2
abusiveness,n,-2
abut,v,0
abutment,n,0
abysmal,adj,-3
abysmally,adv,-3
abyss,n,-1
acacia,n,0
academia,n,0
academic,adj,0
academically,adv,0
academician,n,0
academy,n,0
accede,v,0
accelerate,v,0
acceleration,n,0
accelerator,n,0
accent,v,0
accentuate,v,0
accentuation,n,0
accept,v,1
acceptability,n,0
acceptable,adj,1
acceptably,adv,1
acceptance,n,1
access,v,0
accessibility,n,0
accessible,adj,1
accessibly,adv,0
accession,v,0
accessory,adj,0
accident,n,-2
accidental,adj,0
accidentally,adv,0
accident-prone,adj,-1
acclaim,v,1
acclamation,n,3
acclimate,v,0
acclimation,n,0
acclimatization,n,0
acclimatize,v,0
accolade,n,2
accommodate,v,1
accommodating,adj,1
accommodation,n,0
accommodations,n,0
accompaniment,n,0
accompanist,n,0
accompany,v,0
accomplice,n,-1
accomplish,v,1
accomplished,adj,2
accomplishment,n,2
accord,v,0
accordance,n,0
accordingly,adv,0
accordion,n,0
accost,v,-1
account,v,0
accountability,n,0
accountable,adj,1
accountant,n,0
accounting,n,0
accouterments,n,0
accredit,v,0
accreditation,n,0
accrue,v,0
acct.,n,0
accumulate,v,0
accumulation,n,0
accumulative,adj,0
accuracy,n,0
accurate,adj,2
accurately,adv,2
accurateness,n,0
accursed,adj,-2
accusation,n,-2
accusative,adj,0
accusatory,adj,-2
accuse,v,-1
accused,n,-2
accuser,n,-1
accusingly,adv,-2
accustom,v,0
accustomed,adj,0
ace,adj,3
ace,v,3
acerbic,adj,-1
acerbity,n,-1
acetaminophen,n,0
acetate,n,0
acetone,n,0
acetylene,n,0
ache,v,-1
achievable,adj,1
achieve,v,1
achievement,n,2
achiever,n,1
achoo,n,0
achy,adj,-1
acid,adj,0
acidic,adj,-1
acidify,v,0
acidity,n,-1
acidly,adv,-1
acknowledge,v,0
acknowledgement,n,0
